Nombre / Inventario,Fecha,Pais,Tipo de Objeto,Estructura Imagen (JSON/Link)
Inv. 2025.1234 Wirkerei mit Figuren,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1234-Wirkerei-mit-Figuren.jpg""}"
Inv. 2025.1235 Wirkerei mit Fransen,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1235-Wirkerei-mit-Fransen.jpg""}"
Inv. 2025.1279 Obsidian Objekt,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1279-Obsidian-Objekt.jpg""}"
Inv. 2025.1280 Objekt,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1280-Objekt.jpg""}"
Inv. 2025.1273 Ohrpflock (?),Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1273-Ohrpflock-%28%3F%29.jpg""}"
Inv. 2025.1281 Ohrschmuck,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1281-Ohrschmuck.jpg""}"
"MRZ Inv.Nr. 2025.1286, Ohrschmuck",Ano 1,México,joyería,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/6/62/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1286-Ohrschmuck.jpg""}"
Inv. 2025.1282 Ohrschmuck,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1282-Ohrschmuck.jpg""}"
"MRZ Inv.Nr. 2025.1287, Figur",Desconocida,México,figura,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/0/07/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1287-Figur.jpg""}"
Inv. 2025.1283 Ohrschmuck,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1283-Ohrschmuck.jpg""}"
"MRZ Inv.Nr. 2025.1288, Tierfigur",Desconocida,Provincia de Carchi,figura,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/7c/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1288-Tierfigur.jpg""}"
"MRZ Inv.Nr. 2025.1289, Vogelfigur",Desconocida,Q321729,Q29527347,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/2/2f/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1289-Vogelfigur.jpg""}"
Inv. 2025.1284 Ohrschmuck,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/4/4d/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1284-Ohrschmuck.jpg""}"
Inv. 2025.1290 Figur mit zwei Gesichtern,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/8/8f/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1290-Figur-mit-zwei-Gesichtern.jpg""}"
Inv. 2025.1285 Ohrschmuck,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/5/5a/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1285-Ohrschmuck.jpg""}"
Inv. 2025.1296 Figur,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/78/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1296-Figur.jpg""}"
